food_id,food_name,weather_condition,allergy_info,main_ingredient_1,main_ingredient_2,food_category,cuisine_type,season
1,페퍼로니 피자,Clear,7,밀,고기,빵류,양식,Fall
2,해물 수제비,Rain,"5,7",밀,채소,국류,한식,Summer
3,참치국,Clear,5,해산물,,국류,한식,Winter
4,두부전골,Clear,0,버섯,채소,국류,한식,Winter
5,오차즈케,Clear,0,쌀,생선,밥류,일식,Spring
6,시금치 피자,Clear,7,밀,채소,빵류,양식,Fall
7,샐러드롤,Snow,7,밀,채소,빵류,퓨전,Fall
8,샐러드 피자,Snow,1,채소,유제품,빵류,양식,Winter
9,소갈비살,Clear,0,고기,,육류,한식,Summer
10,돼지갈비,Clear,0,고기,채소,육류,한식,Summer
11,후라이드 치킨,Rain,0,고기,,육류,한식,Summer
12,그릴드 연어,Clear,0,생선,,해산물류,양식,Fall
13,클램 차우더,Snow,"1,5",해산물,유제품,수프류,양식,Spring
14,햄 치즈 파니니,Cloudy,"1,7",밀,유제품,빵류,퓨전,Summer
15,살사 치킨 타코,Snow,7,고기,밀,빵류,퓨전,Spring
16,타이 그린 카레,Cloudy,0,고기,채소,밥류,퓨전,Spring
17,감자그라탕,Rain,"1,7",채소,밀,감자류,양식,Summer
18,클램 차우더,Cloudy,"1,5",해산물,유제품,수프류,양식,Summer
19,토마토 치즈 타르트,Rain,"1,7",밀,유제품,빵류,양식,Spring
20,규카츠 덮밥,Rain,0,고기,쌀,밥류,일식,Spring
21,스테이크 타르타르,Snow,0,고기,,육류,양식,Winter
22,토마토 치즈 타르트,Rain,"1,7",밀,유제품,빵류,양식,Fall
23,곤약조림,Cloudy,0,곤약,채소,채소류,한식,Spring
24,오리 로스트,Clear,0,고기,채소,육류,양식,Spring
25,아부라소바,Snow,"2,7",밀,고기,면류,일식,Winter
26,알리오 올리오,Rain,5,해산물,채소,면류,양식,Fall
27,라임 치킨,Rain,0,고기,과일,육류,양식,Summer
28,김치국,Clear,0,채소,,국류,한식,Fall
29,페퍼로니 피자,Snow,7,밀,고기,빵류,양식,Winter
30,우엉조림,Snow,0,채소,,채소류,한식,Winter
31,낙지전골,Clear,5,해산물,채소,해산물류,한식,Winter
32,규카츠,Cloudy,0,고기,채소,밥류,일식,Fall
33,붕장어구이,Rain,5,해산물,,해산물류,한식,Fall
34,우렁강된장,Snow,5,해산물,된장,국류,한식,Winter
35,돼지갈비,Rain,0,고기,채소,육류,한식,Fall
36,타마고야키,Clear,"1,2",달걀,유제품,수프류,일식,Summer
37,대파무침,Clear,0,채소,,채소류,한식,Winter
38,미트볼 파스타,Snow,7,밀,채소,면류,양식,Winter
39,콩나물국,Snow,0,콩나물,채소,국류,한식,Spring
40,연어구이,Clear,5,해산물,,해산물류,한식,Summer
41,모듬카츠,Rain,0,채소,고기,육류,일식,Fall
42,조기구이,Cloudy,0,생선,,해산물류,한식,Fall
43,샐러드,Rain,0,채소,채소,채소류,양식,Spring
44,미소 된장국,Rain,0,된장,채소,국류,한식,Summer
45,토마토 수프,Cloudy,1,채소,유제품,수프류,양식,Winter
46,매콤로제파스타,Snow,7,밀,채소,면류,양식,Winter
47,가츠샌드,Cloudy,7,밀,고기,빵류,일식,Winter
48,백숙,Cloudy,0,고기,채소,육류,한식,Fall
49,로스카츠,Snow,0,채소,고기,육류,일식,Fall
50,참치 샌드위치,Rain,7,생선,밀,빵류,양식,Spring
51,두부전골,Snow,0,버섯,채소,국류,한식,Winter
52,전복죽,Cloudy,5,해산물,쌀,수프류,한식,Fall
53,마르게리타 피자,Snow,7,고기,밀,빵류,양식,Winter
54,허니 버터 칩,Clear,1,감자,유제품,감자류,양식,Summer
55,돼지고기볶음,Snow,0,고기,채소,육류,한식,Spring
56,항정살,Rain,0,고기,,육류,한식,Summer
57,해물탕,Snow,5,해산물,채소,국류,한식,Spring
58,파김치장어전골,Clear,5,채소,해산물,국류,한식,Spring
59,참치 샌드위치,Clear,7,생선,밀,빵류,양식,Spring
60,리조또,Cloudy,0,고기,쌀,밥류,양식,Summer
61,체다 감자 크림,Cloudy,1,감자,유제품,감자류,양식,Spring
62,북경오리,Clear,0,고기,채소,육류,중식,Summer
63,버섯 볶음밥,Rain,0,쌀,채소,밥류,한식,Summer
64,미소시루,Cloudy,5,해산물,채소,면류,일식,Summer
65,마라양념탕수육,Clear,0,고기,채소,육류,중식,Winter
66,부리또,Clear,7,밀,채소,빵류,퓨전,Summer
67,청포묵,Rain,0,묵,,채소류,한식,Fall
68,삼계탕,Cloudy,0,닭고기,채소,국류,한식,Winter
69,랍스터 롤,Rain,"5,7",해산물,밀,빵류,양식,Spring
70,감자전,Clear,0,감자,,전류,한식,Spring
71,돼지고기볶음,Cloudy,0,고기,채소,육류,한식,Summer
72,참치 니스와 샐러드,Clear,0,생선,채소,채소류,양식,Summer
73,열무김치,Snow,0,채소,,채소류,한식,Winter
74,낙지전골,Clear,5,해산물,채소,해산물류,한식,Winter
75,트러플 감자튀김,Snow,0,감자,트러플,튀김류,양식,Winter
76,콩비지찌개,Clear,8,두부,채소,국류,한식,Spring
77,토마토 치즈 타르트,Cloudy,"1,7",밀,유제품,빵류,양식,Summer
78,타마고야키,Rain,"1,2",달걀,유제품,수프류,일식,Spring
79,돈코츠라멘,Cloudy,"2,7",밀,고기,면류,일식,Winter
80,애호박찌개,Cloudy,0,고기,채소,국류,한식,Winter
81,닭칼국수,Clear,7,밀,닭고기,면류,한식,Fall
82,돈코츠라멘,Rain,"2,7",밀,고기,면류,일식,Spring
83,유부 초밥,Clear,0,쌀,유부,밥류,한식,Spring
84,황태해장국,Clear,0,생선,채소,국류,한식,Summer
85,시저 파스타 샐러드,Cloudy,7,밀,채소,면류,퓨전,Summer
86,회냉면,Clear,"5,7",밀,해산물,면류,한식,Summer
87,비트 수프,Rain,0,채소,,수프류,양식,Summer
88,연어 머핀,Rain,7,생선,밀,빵류,양식,Summer
89,후라이드 치킨,Snow,0,고기,,육류,한식,Winter
90,시금치나물,Rain,0,채소,,채소류,한식,Fall
91,고등어구이,Cloudy,0,생선,,해산물류,한식,Winter
92,아귀찜,Clear,5,해산물,채소,해산물류,한식,Fall
93,버팔로 치킨 샌드위치,Cloudy,7,밀,고기,빵류,양식,Winter
94,트러플 마카로니,Snow,"1,7",밀,유제품,면류,양식,Winter
95,꽁치구이,Rain,0,생선,,해산물류,한식,Spring
96,물김치,Clear,0,채소,,채소류,한식,Fall
97,오징어순대,Clear,5,해산물,채소,해산물류,한식,Summer
98,비프 타르타르,Cloudy,0,고기,,육류,양식,Fall
99,초밥,Cloudy,5,쌀,해산물,밥류,일식,Fall
100,피쉬 앤 칩스,Clear,0,생선,채소,튀김류,양식,Summer
101,사골국,Snow,0,채소,고기,국류,한식,Winter
102,물김치,Cloudy,0,채소,,채소류,한식,Winter
103,타코,Cloudy,7,밀,채소,빵류,퓨전,Summer
104,아란치니,Clear,1,쌀,유제품,빵류,퓨전,Spring
105,규동,Cloudy,0,쌀,고기,밥류,일식,Summer
106,후라이드 치킨,Cloudy,0,고기,,육류,한식,Summer
