food_id,food_name,weather_condition,allergy_info,main_ingredient_1,main_ingredient_2,food_category,cuisine_type,season
1,떡국,Snow,0,밀,채소,국류,한식,Fall
2,감자 샐러드,Clear,0,감자,채소,채소류,양식,Winter
3,아스파라거스 수프,Clear,1,채소,유제품,국류,양식,Summer
4,삼계탕,Cloudy,8,고기,채소,국류,한식,Spring
5,타마고야키,Rain,"1,2",달걀,유제품,국류,일식,Summer
6,피쉬 앤 칩스,Rain,5,해산물,채소,튀김류,양식,Summer
7,초계국수,Clear,7,밀,채소,면류,한식,Summer
8,돈부리,Rain,0,쌀,고기,밥류,일식,Summer
9,제육볶음,Cloudy,0,고기,채소,육류,한식,Fall
10,떡국,Snow,5,밀,채소,국류,한식,Spring
11,제육볶음,Cloudy,5,고기,채소,육류,한식,Fall
12,감자탕,Snow,7,고기,채소,국류,한식,Fall
13,감자탕,Rain,0,고기,채소,국류,한식,Fall
14,김치전,Rain,0,밀,채소,튀김류,한식,Spring
15,아부라소바,Rain,"2,7",밀,고기,면류,일식,Fall
16,군만두,Cloudy,7,밀,고기,육류,중식,Spring
17,사골국,Snow,0,채소,고기,국류,한식,Fall
18,크림치즈 베이글,Cloudy,"1,7",밀,유제품,빵류,양식,Winter
19,트러플 마카로니,Cloudy,"1,7",밀,유제품,면류,양식,Spring
20,설렁탕,Snow,0,고기,채소,국류,한식,Spring
21,장어덮밥,Cloudy,5,해산물,쌀,밥류,일식,Winter
22,김치전,Rain,1,밀,채소,튀김류,한식,Summer
23,양갈비,Clear,0,고기,,육류,한식,Fall
24,해물파전,Rain,7,밀,해산물,튀김류,한식,Summer
25,상하이볶음면,Rain,7,밀,채소,면류,중식,Summer
26,김치전,Rain,0,밀,채소,튀김류,한식,Fall
27,갈비구이,Cloudy,0,고기,채소,육류,한식,Spring
28,미역국,Snow,0,해조류,채소,국류,한식,Fall
29,랍스터 비스크,Cloudy,5,해산물,채소,국류,양식,Summer
30,까르보나라 불닭볶음면,Cloudy,7,밀,고기,면류,한식,Fall
31,부추전,Clear,0,채소,,튀김류,한식,Winter
32,떡국,Snow,0,밀,채소,국류,한식,Spring
33,삼계탕,Cloudy,5,고기,채소,국류,한식,Winter
34,파전,Rain,0,밀,채소,튀김류,한식,Spring
35,제육볶음,Cloudy,7,고기,채소,육류,한식,Winter
36,살몬 크림 파스타,Rain,"1,5",해산물,유제품,면류,양식,Spring
37,닭가슴살 샐러드,Snow,0,고기,채소,채소류,양식,Spring
38,샌드위치,Clear,7,밀,고기,빵류,양식,Winter
39,김치전,Rain,7,밀,채소,튀김류,한식,Fall
40,떡국,Snow,0,밀,채소,국류,한식,Winter
41,삼계탕,Cloudy,0,고기,채소,국류,한식,Winter
42,낙지탕탕이,Clear,5,해산물,,국류,한식,Winter
43,삼계탕,Cloudy,0,고기,채소,국류,한식,Winter
44,설렁탕,Snow,"5,8",고기,채소,국류,한식,Fall
45,갈비찜,Snow,0,고기,,육류,한식,Spring
46,김치전,Rain,"2,7",밀,채소,튀김류,한식,Fall
47,된장찌개,Clear,0,쌀,채소,국류,한식,Fall
48,꽃목살,Cloudy,0,고기,,육류,한식,Summer
49,샤케동,Snow,5,해산물,쌀,밥류,일식,Spring
50,렌틸콩 샐러드,Snow,0,콩,채소,채소류,양식,Spring
51,스테이크 타르타르,Clear,0,고기,,육류,양식,Spring
52,김치찌개,Clear,"5,7",고기,채소,국류,한식,Winter
53,크로크무슈,Rain,"1,7",밀,유제품,빵류,양식,Spring
54,해물순두부찌개,Clear,"5,8",해산물,두부,국류,한식,Summer
55,불고기,Rain,0,고기,,육류,한식,Spring
56,닭가슴살 스테이크,Rain,0,고기,채소,육류,양식,Summer
57,갈비찜,Snow,0,고기,,육류,한식,Spring
58,닭가슴살 튀김,Rain,0,고기,,육류,퓨전,Summer
59,떡국,Snow,7,밀,채소,국류,한식,Winter
60,삼계탕,Cloudy,0,고기,채소,국류,한식,Spring
61,아부라소바,Cloudy,"2,7",밀,고기,면류,일식,Summer
62,멸치 김밥,Snow,5,쌀,해산물,밥류,한식,Spring
63,감자탕,Snow,"5,7",고기,채소,국류,한식,Fall
64,마늘빵,Cloudy,"1,7",밀,유제품,빵류,양식,Spring
65,김치전,Rain,0,밀,채소,튀김류,한식,Fall
66,소갈비살,Cloudy,0,고기,,육류,한식,Winter
67,제육볶음,Cloudy,0,고기,채소,육류,한식,Spring
68,김치전,Rain,"1,7",밀,채소,튀김류,한식,Summer
69,마파면,Clear,7,밀,고기,면류,중식,Spring
70,설렁탕,Snow,5,고기,채소,국류,한식,Spring
71,파전,Rain,7,밀,채소,튀김류,한식,Spring
72,설렁탕,Snow,0,고기,채소,국류,한식,Winter
73,치킨 알프레도,Clear,1,고기,유제품,육류,양식,Spring
74,김치전,Rain,7,밀,채소,튀김류,한식,Summer
75,동파육,Snow,0,고기,채소,육류,한식,Fall
76,크림통새우,Cloudy,5,해산물,채소,해산물류,양식,Summer
77,오니기리,Snow,0,쌀,채소,밥류,일식,Winter
78,사천식 양꼬치,Clear,0,고기,,육류,중식,Spring
79,비빔국수,Cloudy,7,밀,채소,면류,한식,Spring
80,삼계탕,Cloudy,7,고기,채소,국류,한식,Summer
81,아귀찜,Clear,5,해산물,채소,해산물류,한식,Winter
82,참치 사시미,Clear,5,해산물,채소,해산물류,일식,Fall
83,토마토 수프,Clear,1,채소,유제품,국류,양식,Winter
84,브루스케타,Clear,7,밀,채소,빵류,양식,Spring
85,체다 치즈 칩,Cloudy,1,유제품,,채소류,양식,Winter
86,해물파전,Rain,7,밀,해산물,튀김류,한식,Summer
87,떡국,Snow,0,밀,채소,국류,한식,Winter
88,깐풍기,Cloudy,0,고기,채소,육류,중식,Summer
89,히레카츠,Cloudy,0,채소,고기,육류,일식,Summer
90,떡국,Snow,5,밀,채소,국류,한식,Winter
91,해물파전,Rain,5,밀,해산물,튀김류,한식,Summer
92,김치찌개,Clear,"1,7",고기,채소,국류,한식,Winter
93,제육볶음,Cloudy,7,고기,채소,육류,한식,Winter
94,타이 새우 볶음,Cloudy,5,해산물,채소,육류,퓨전,Winter
95,그릴드 연어,Clear,5,해산물,,해산물류,양식,Spring
96,바지락 칼국수,Snow,"5,7",밀,채소,면류,한식,Spring
97,아스파라거스 수프,Cloudy,1,채소,유제품,국류,양식,Winter
98,치즈스틱,Rain,"1,7",밀,유제품,튀김류,양식,Fall
99,타마고야키,Clear,"1,2",달걀,유제품,국류,일식,Spring
100,떡국,Snow,5,밀,채소,국류,한식,Fall
101,감자탕,Snow,8,고기,채소,국류,한식,Winter
102,체다 치즈 튀김,Cloudy,1,감자,유제품,채소류,양식,Summer
103,육회,Cloudy,0,고기,,육류,한식,Fall
104,파전,Rain,5,밀,채소,튀김류,한식,Summer
105,짜장밥,Snow,0,쌀,채소,밥류,중식,Fall
106,랍스터 비스크,Clear,5,해산물,채소,국류,양식,Fall
107,연어구이,Rain,5,해산물,,해산물류,한식,Spring
108,해물파전,Rain,"1,7",밀,해산물,튀김류,한식,Fall
109,삼계탕,Cloudy,7,고기,채소,국류,한식,Summer
